title,URL,Published date,keywords,KW,picture,group
三高世代，慢性病是必然？蔬果多酚降風險，看懂哪些食物適合你,https://www.everydayhealth.com.tw//article/22269,2019-08-12, 健康飲食 腦中風 心臟病 咖啡 蔬果 花青素 大豆異黃酮,腦中風 心臟病 咖啡 蔬果 花青素 大豆異黃酮,https://live.staticflickr.com/65535/48486974181_5544cb1cf9_b.jpg,0
血型與罹癌風險有關？研究：2種血型容易得胃癌、胰臟癌,https://www.everydayhealth.com.tw//article/22350,2019-08-12, 保健新聞 血型 基因 抗體 健康飲食 癌症 中風,血型 基因 抗體 健康飲食 癌症 中風,https://live.staticflickr.com/65535/48486974216_cc57fec215_b.jpg,13
睡飽還是累？還清睡眠債的5練習，別讓昨日疲勞積到今天,https://www.everydayhealth.com.tw//article/22361,2019-08-12, 養生保健 睡眠不足 阿茲海默症 糖尿病 心血管疾病 睡眠策略,睡眠不足 阿茲海默症 糖尿病 心血管疾病 睡眠策略,https://live.staticflickr.com/65535/48487134007_c6aa8e0cc3_b.jpg,27
寒氣是子宮的毒素！必吃3蔬菜防宮寒、荷爾蒙失調,https://www.everydayhealth.com.tw//article/14927,2017-05-21, 健康飲食 子宮 生薑 薑黃 大蒜 虛寒 手腳冰冷,子宮 生薑 薑黃 大蒜 虛寒 手腳冰冷,https://live.staticflickr.com/65535/48052507176_39077bda59_b.jpg,15
研究：腦過勞釀失智，錢包零錢爆滿竟是失智前兆！,https://www.everydayhealth.com.tw//article/20397,2018-11-06, 養生保健 失智 失智症 預防失智 疲勞 滑手機 Omega3,失智 失智症 預防失智 疲勞 滑手機 Omega3,https://c1.staticflickr.com/5/4872/44815812625_de770d7940_b.jpg,21
漏尿，是因為尿急、還是大笑？中醫「對症3招」緩解漏尿困擾,https://www.everydayhealth.com.tw//article/22374,2019-08-10, 保健新聞 尿失禁 漏尿 頻尿 中醫,尿失禁 漏尿 頻尿 中醫,https://live.staticflickr.com/65535/48478972481_d7ab235874_b.jpg,22
心肌梗塞年輕化，如何避險？最新研究：補這營養大降56％風險,https://www.everydayhealth.com.tw//article/22327,2019-08-09, 健康飲食 維生素B6 心肌梗塞 腦梗塞 腦中風 動脈硬化 心血管疾病,維生素B6 心肌梗塞 腦梗塞 腦中風 動脈硬化 心血管疾病,https://live.staticflickr.com/65535/48486798467_b4375796a4_b.jpg,2
50％女性有乳房纖維囊腫！多吃4食物平衡荷爾蒙可改善,https://www.everydayhealth.com.tw//article/13028,2016-09-14, 健康飲食 女性 南瓜 更年期 大豆 荷爾蒙 乳癌 生理期 胸部,女性 南瓜 更年期 大豆 荷爾蒙 乳癌 生理期 胸部,https://farm9.staticflickr.com/8468/29566567831_f4f0b973f1_b.jpg,1
甲狀腺癌治癒率高！留意「女性癌症」甲狀腺癌7症狀,https://www.everydayhealth.com.tw//article/19778,2019-03-25, 保健新聞 甲狀腺癌 甲狀腺 脖子 女性 女性荷爾蒙,甲狀腺癌 甲狀腺 脖子 女性 女性荷爾蒙,https://c1.staticflickr.com/1/937/43012874515_4673f57ee6_b.jpg,1
落枕怎麼辦？緩解落枕脖子痛5招自救法,https://www.everydayhealth.com.tw//article/10568,2018-09-25, 肩頸痠痛 落枕 壓力 扭傷 疼痛 肌肉 肩頸僵硬 關節,落枕 壓力 扭傷 疼痛 肌肉 肩頸僵硬 關節,https://farm6.staticflickr.com/5764/22307408952_f636caca27_b.jpg,12
夜間頻尿是心臟危機！日泌尿學會：睡前別忘了這動作,https://www.everydayhealth.com.tw//article/19923,2018-08-30, 養生保健 頻尿 尿失禁 憋尿 泌尿腎臟 腦梗塞 心肌梗塞,頻尿 尿失禁 憋尿 泌尿腎臟 腦梗塞 心肌梗塞,https://c2.staticflickr.com/2/1858/44339786291_a98336686f_b.jpg,2
比乳癌死亡人數高5倍！更年期後的頭號殺手是它,https://www.everydayhealth.com.tw//article/14672,2019-08-07, 西醫醫學 心絞痛 心臟 心肌梗塞 健康資訊 治療 更年期,心絞痛 心臟 心肌梗塞 健康資訊 治療 更年期,https://static.everydayhealth.com.tw/main/201703/33719966311_de1149c061_b.jpg,2
緩解偏頭痛，日頭痛權威醫妙招竟是「聽音樂」？,https://www.everydayhealth.com.tw//article/22340,2019-08-07, 頭痛/偏頭痛 偏頭痛 聲音 噪音 血管 頭痛 腦神經,偏頭痛 聲音 噪音 血管 頭痛 腦神經,https://live.staticflickr.com/65535/48470817782_8bb1b7303c_b.jpg,10
1招獨立步讓你膝不痛、腳不麻，活到99，雙腳都有力,https://www.everydayhealth.com.tw//article/12620,2016-07-19, 關節疼痛 下半身 健身 膝蓋 體操 抗老,下半身 健身 膝蓋 體操 抗老,https://farm9.staticflickr.com/8891/28277234902_617ae3ffd6_b.jpg,18
駝背怎麼矯正？只要1分鐘打開肩胛骨，就能改善駝背、肩胛骨痠痛！,https://www.everydayhealth.com.tw//article/11674,2019-08-06, 肩頸痠痛 駝背 深呼吸 肩胛骨 腰痠背痛 頭痛 伸展操,駝背 深呼吸 肩胛骨 腰痠背痛 頭痛 伸展操,https://farm8.staticflickr.com/7621/27767909872_914bc52440_b.jpg,14
頭痛、失眠、下巴痛？「顳顎關節症候群」如何按摩改善,https://www.everydayhealth.com.tw//article/21980,2019-08-06, 關節疼痛 顳顎關節症候群 下巴 食慾不振 失眠 頭痛 壓力,顳顎關節症候群 下巴 食慾不振 失眠 頭痛 壓力,https://live.staticflickr.com/65535/48461350112_0a58a86ba0_b.jpg,10
一緊張就腹痛、拉肚子？日權威4招安撫敏感的腸子,https://www.everydayhealth.com.tw//article/15329,2017-06-09, 養生保健 脹氣 自律神經失調 腸躁症 拉肚子 便祕,脹氣 自律神經失調 腸躁症 拉肚子 便祕,https://static.everydayhealth.com.tw/main/201706/34362281623_d07ecd18fa_b.jpg,11
腎經之源，補腎首選！溫敷這穴位改善下半身虛寒,https://www.everydayhealth.com.tw//article/14893,2019-08-04, 養生保健 穴道按摩 溫敷 嘴破 口乾舌燥 上火 手腳冰冷 經痛 腎經,穴道按摩 溫敷 嘴破 口乾舌燥 上火 手腳冰冷 經痛 腎經,https://static.everydayhealth.com.tw/main/201704/34070394766_74345cac7f_b.jpg,15
高血壓標準下修130／80，降血壓簡單13招,https://www.everydayhealth.com.tw//article/17282,2017-11-14, 保健新聞 高血壓 降血壓 高血壓/糖尿病飲食 心臟病 腦中風,高血壓 降血壓 高血壓/糖尿病飲食 心臟病 腦中風,https://c1.staticflickr.com/5/4536/37690456084_02222aa6ed_b.jpg,2
腰痛怎麼辦？2種簡單伸展操改善腰痠背痛,https://www.everydayhealth.com.tw//article/11048,2019-03-22, 腰痠背痛 腰痛 伸展 伸展操 疼痛 體操,腰痛 伸展 伸展操 疼痛 體操,https://farm2.staticflickr.com/1474/24344905262_6cb4fea90f_b.jpg,12
憋尿害你膀胱炎！預防膀胱炎症狀，除了不憋尿也別忽略尿尿後清潔動作,https://www.everydayhealth.com.tw//article/19410,2019-08-02, 養生保健 膀胱炎 憋尿 細菌 發炎 補水 疼痛,膀胱炎 憋尿 細菌 發炎 補水 疼痛,https://c2.staticflickr.com/2/1809/43061050101_3cfe171525_b.jpg,27
夏天當季蔬菜：苦瓜、秋葵、青椒，學會7招保留全營養！,https://www.everydayhealth.com.tw//article/22329,2019-08-02, 健康飲食 萵苣 番茄 甜椒 秋葵 苦瓜 食物保存 蔬菜 維生素C,萵苣 番茄 甜椒 秋葵 苦瓜 食物保存 蔬菜 維生素C,https://live.staticflickr.com/65535/48429742267_c5e8027a14_b.jpg,27
中年後，亞健康人這樣動！簡文仁「四方健康操」練肌力,https://www.everydayhealth.com.tw//article/14945,2019-08-02, 養生保健 運動 肌力 肌肉鍛鍊 體操 簡文仁物理治療師,運動 肌力 肌肉鍛鍊 體操 簡文仁物理治療師,https://live.staticflickr.com/65535/48429644956_f83d8a1bf8_b.jpg,6
頭痛想吐，卻只會按太陽穴？最好用的頭痛救急指南：頭痛按摩這樣做,https://www.everydayhealth.com.tw//article/9832,2019-08-12, 穴道導引 偏頭痛 健康飲食 按摩 穴道按摩 頭痛,偏頭痛 健康飲食 按摩 穴道按摩 頭痛,https://farm1.staticflickr.com/418/19763556115_11ddefc3ee_b.jpg,10
三酸甘油脂、膽固醇過高？這樣做有效降血脂,https://www.everydayhealth.com.tw//article/16954,2018-09-28, 健康飲食 三酸甘油酯 高血脂 膽固醇 有氧運動 反式脂肪,三酸甘油酯 高血脂 膽固醇 有氧運動 反式脂肪,https://c1.staticflickr.com/5/4495/37492875250_80d9ae77fb_b.jpg,20
中醫教授：脹氣便秘是霸凌腸胃元凶！敲敲胃經防腹痛,https://www.everydayhealth.com.tw//article/14069,2017-01-12, 中醫養生 脹氣 藥膳 穴道按摩 便祕,脹氣 藥膳 穴道按摩 便祕,https://farm1.staticflickr.com/554/32183489036_797c9e72fe_b.jpg,5
活腦防失智，該吃什麼好？89歲的她，這樣反轉失智症！,https://www.everydayhealth.com.tw//article/22266,2019-08-01, 健康飲食 失智症 預防失智 口香糖 阿茲海默症 咀嚼 健腦食物,失智症 預防失智 口香糖 阿茲海默症 咀嚼 健腦食物,https://live.staticflickr.com/65535/48421359272_129fd8f26c_b.jpg,21
失眠、肝經不暢招來婦科病！醫師的活血養肝秘方,https://www.everydayhealth.com.tw//article/14291,2017-02-19, 健康飲食 子宮 更年期 護肝 薑黃 保健 失眠,子宮 更年期 護肝 薑黃 保健 失眠,https://farm3.staticflickr.com/2463/32927444505_07bdea9312_b.jpg,7
